sample_id,cheating_score,label_id,cheating_label,gaze_away_count,gaze_away_total_sec,head_turn_count,head_turn_max_angle,phone_detected_count,multiple_faces_count,audio_anomaly_count,whisper_detected_count,tab_switch_count,fullscreen_exit_count,identity_mismatch_flag,typing_pause_count,answer_change_count,session_duration_sec,audio_duration_ms,audio_rms_energy,audio_zero_crossing_rate,audio_spectral_centroid_hz,audio_spectral_rolloff_hz,audio_spectral_flatness,audio_tempo_bpm,audio_speech_rate_syl_per_sec,audio_mfcc_1,audio_mfcc_2,audio_mfcc_3,audio_mfcc_4,audio_mfcc_5,audio_mfcc_6,audio_mfcc_7,audio_mfcc_8,audio_mfcc_9,audio_mfcc_10,audio_mfcc_11,audio_mfcc_12,audio_mfcc_13,audio_delta_mfcc_1,audio_delta_mfcc_2,audio_delta_mfcc_3,audio_delta_mfcc_4,audio_delta_mfcc_5,audio_delta_mfcc_6,audio_delta_mfcc_7,audio_delta_mfcc_8,audio_delta_mfcc_9,audio_delta_mfcc_10,audio_delta_mfcc_11,audio_delta_mfcc_12,audio_delta_mfcc_13,audio_class_id,audio_is_suspicious,eye_left_pupil_x,eye_left_pupil_y,eye_right_pupil_x,eye_right_pupil_y,eye_iris_left_offset_x,eye_iris_left_offset_y,eye_iris_right_offset_x,eye_iris_right_offset_y,eye_head_yaw_deg,eye_head_pitch_deg,eye_blink_rate_per_min,eye_fixation_duration_ms,eye_saccade_velocity,eye_looking_away,face_recog_cosine_similarity,face_recog_euclidean_distance,face_recog_is_match,expression_face_width,expression_face_height,expression_mouth_open_ratio,expression_eye_openness_left,expression_eye_openness_right,expression_eyebrow_raise_left,expression_eyebrow_raise_right,expression_AU1,expression_AU2,expression_AU3,expression_AU4,expression_AU5,expression_AU6,expression_AU7,expression_AU8,expression_AU9,expression_AU10,expression_AU11,expression_AU12,expression_AU13,expression_AU14,expression_AU15,expression_AU16,expression_AU17,expression_emotion_id,expression_confidence,object_total_objects_detected,object_suspicious_object_count,object_avg_detection_confidence,object_phone_detected_flag,pose_shoulder_width_px,pose_head_tilt_angle,pose_torso_lean_angle,pose_hand_near_face,pose_movement_velocity,pose_nose_x,pose_nose_y,pose_nose_conf,pose_left_eye_x,pose_left_eye_y,pose_left_eye_conf,pose_right_eye_x,pose_right_eye_y,pose_right_eye_conf,pose_left_ear_x,pose_left_ear_y,pose_left_ear_conf,pose_right_ear_x,pose_right_ear_y,pose_right_ear_conf,pose_left_shoulder_x,pose_left_shoulder_y,pose_left_shoulder_conf,pose_right_shoulder_x,pose_right_shoulder_y,pose_right_shoulder_conf,pose_left_elbow_x,pose_left_elbow_y,pose_left_elbow_conf,pose_right_elbow_x,pose_right_elbow_y,pose_right_elbow_conf,pose_left_wrist_x,pose_left_wrist_y,pose_left_wrist_conf,pose_right_wrist_x,pose_right_wrist_y,pose_right_wrist_conf,pose_label_id,pose_is_suspicious,gaze_away_ratio,obj_suspicion_ratio
0,45,2,moderate_cheating,8,41.2,4,31.9,2,0,6,4,4,3,1,2,6,2081.0,536.0,0.00149,0.0518,488.9,1138.3,0.1014,128.3,0.76,-6.835,-3.408,14.893,-4.465,-5.007,-5.315,-18.138,6.232,-2.798,30.121,10.134,-16.785,14.691,-0.557,-0.035,0.454,0.309,-0.967,0.687,-2.846,0.842,1.574,2.331,0.6,-2.526,0.784,0,0,0.5528,0.5997,0.6194,0.6047,0.075,0.256,0.1094,0.2653,10.07,26.35,15.4,267.5,282.3,1,0.9342,0.5001,1,123.2,149.2,0.109,0.371,0.359,0.321,0.438,0.167,0.098,0.094,0.345,0.003,0.0,0.026,0.139,0.0,0.177,0.0,0.078,0.0,0.161,0.0,0.0,0.106,3,0.799,3,3,0.8913333333333333,1,119.6,14.94,18.44,0,0.463,0.3806,0.3961,0.863,0.2876,0.3029,0.874,0.2982,0.4227,0.802,0.2964,0.3993,0.898,0.3414,0.3734,0.874,0.3394,0.3852,0.895,0.3002,0.3788,0.928,0.2942,0.4035,0.966,0.2671,0.4386,0.846,0.3522,0.4325,0.878,0.2667,0.3455,0.931,1,0,0.01979817395482941,1.0
1,11,0,honest,1,4.4,0,0.0,0,0,1,0,1,0,0,4,5,1728.0,513.0,0.04535,0.117,1913.6,3553.4,0.1323,119.1,3.94,22.554,-8.752,19.831,3.865,-14.81,11.973,25.193,38.854,-10.086,-10.204,-14.398,-3.057,-5.715,2.869,0.536,0.359,1.649,-1.363,1.642,4.134,4.532,-1.142,-1.254,-3.125,0.189,-0.368,1,1,0.4711,0.5241,0.5263,0.5331,-0.0462,0.1535,-0.0649,0.1874,-4.77,15.93,21.2,188.6,430.2,1,0.9383,0.3861,1,127.3,155.9,0.122,0.389,0.227,0.371,0.247,0.003,0.135,0.283,0.058,0.0,0.132,0.159,0.0,0.0,0.098,0.108,0.187,0.3,0.0,0.0,0.192,0.0,0,0.729,3,2,0.8509333333333333,1,147.6,-8.49,19.16,0,0.694,0.5388,0.5026,0.733,0.5293,0.4819,0.904,0.5525,0.5303,0.898,0.4664,0.5814,0.91,0.537,0.5303,0.927,0.495,0.5031,0.816,0.5345,0.5993,0.955,0.5148,0.5409,0.943,0.4627,0.5678,0.923,0.4923,0.4843,0.802,0.511,0.4964,0.963,3,0,0.0025462962962962965,0.6666666666666666
2,18,1,minor_infractions,4,20.2,3,21.2,1,1,1,1,3,1,0,1,2,1808.0,409.0,0.00224,0.093,703.8,613.8,0.124,116.4,0.86,-3.54,13.752,13.341,5.989,11.201,6.671,5.129,1.008,-11.525,11.738,16.21,-6.925,25.551,0.08,1.001,3.16,0.893,0.551,0.864,0.573,-2.593,-0.056,3.028,2.703,-0.075,1.665,0,0,0.4843,0.5159,0.5418,0.5165,-0.0219,0.0246,-0.0366,0.0556,-2.9,2.84,14.1,318.8,210.8,0,0.8717,0.4305,1,124.9,148.5,0.124,0.345,0.295,0.271,-0.001,0.134,0.17,0.233,0.17,0.181,0.0,0.23,0.075,0.025,0.106,0.243,0.217,0.0,0.0,0.162,0.0,0.128,0,0.815,1,1,0.7618,1,157.6,-5.95,4.32,0,1.791,0.7473,0.3303,0.952,0.6254,0.3446,1.049,0.6448,0.3599,0.869,0.709,0.3993,0.817,0.7055,0.3082,0.888,0.623,0.2811,0.959,0.7195,0.3388,0.885,0.6922,0.347,0.86,0.6913,0.3831,0.864,0.5969,0.3793,0.608,0.7095,0.2952,0.914,2,0,0.011172566371681415,1.0
3,10,0,honest,2,9.2,0,0.0,0,0,1,0,0,0,0,2,7,2095.0,534.0,0.01181,0.1939,3127.7,5125.7,0.2529,128.6,2.78,-31.334,-3.081,-15.442,-20.374,12.838,-18.127,-8.097,11.682,3.708,3.935,-12.789,-17.073,1.818,-1.57,-0.164,-1.9,-1.804,0.922,-0.973,-0.801,0.478,0.425,-0.408,0.313,-2.142,0.658,2,1,0.5312,0.5834,0.593,0.5867,0.038,0.1943,0.0141,0.1975,2.84,20.69,16.5,187.5,586.9,1,0.4435,1.2992,0,118.4,142.4,0.032,0.314,0.319,0.329,0.491,0.815,0.419,0.148,0.072,0.586,0.0,0.083,0.428,0.0,0.121,0.108,0.0,0.383,0.562,0.682,0.26,0.415,2,0.94,2,2,0.8674999999999999,0,152.5,5.87,6.09,0,1.961,0.4601,0.2655,0.999,0.4658,0.1164,0.839,0.5903,0.2409,0.756,0.4462,0.1816,0.939,0.3937,0.2929,0.854,0.5127,0.2372,0.938,0.4883,0.2555,0.934,0.542,0.2816,1.005,0.4611,0.2172,0.905,0.4697,0.2598,0.806,0.4869,0.2045,0.882,4,1,0.004391408114558472,1.0
4,18,0,honest,2,6.8,2,30.6,0,0,0,0,1,0,0,0,2,2161.0,415.0,0.04475,0.0822,2218.6,3616.1,0.0662,114.2,3.61,0.236,-8.118,-9.543,2.653,-19.959,24.961,-29.576,-12.579,5.542,2.687,-10.371,4.548,17.674,-1.023,0.448,-1.719,-0.293,-1.643,4.119,-2.281,-1.996,1.431,-0.165,-0.774,0.221,0.534,1,1,0.5387,0.5772,0.5948,0.5781,0.1296,0.2232,0.1057,0.2543,10.23,23.69,15.1,183.1,463.1,1,0.374,0.9736,0,118.8,130.3,0.065,0.224,0.387,0.322,0.22,0.033,0.0,0.208,0.195,0.188,0.035,0.218,0.068,0.086,0.25,0.176,0.036,0.0,0.259,0.089,0.127,0.009,3,0.935,1,1,0.6838,1,150.6,0.95,0.26,0,0.298,0.4872,0.2301,0.749,0.4297,0.2695,0.761,0.4635,0.1986,0.912,0.3894,0.2193,0.827,0.4387,0.2719,0.863,0.4363,0.2498,0.908,0.3792,0.2058,0.799,0.4489,0.2761,0.986,0.401,0.2364,0.83,0.4986,0.2352,0.853,0.4329,0.1879,0.835,0,0,0.0031466913465987966,1.0
5,11,0,honest,1,4.6,1,22.1,0,0,0,0,1,0,0,1,1,1607.0,535.0,0.00671,0.1625,1675.2,2635.7,0.2779,116.7,1.5,-9.619,-2.182,-2.941,-4.357,-11.919,-18.669,2.949,-14.74,-20.594,31.08,-18.021,-8.373,-22.294,-1.383,-0.863,0.376,0.068,-1.073,-1.415,-0.371,-2.744,-1.291,2.886,-1.611,-2.246,-2.122,3,0,0.4461,0.4684,0.5025,0.4655,-0.1034,-0.2398,-0.1031,-0.2198,-13.02,-20.46,12.6,351.4,302.7,0,0.9292,0.3622,1,121.6,136.7,0.367,0.428,0.363,0.185,0.424,0.778,0.791,0.321,0.018,0.688,0.244,0.579,0.464,0.303,0.369,0.606,0.338,0.783,0.783,0.381,0.193,0.403,5,0.787,3,1,0.8273666666666667,1,164.2,-7.01,5.26,1,2.051,0.409,0.2907,0.894,0.5657,0.2944,0.897,0.4484,0.2676,0.981,0.5223,0.3233,0.995,0.5384,0.297,0.868,0.5303,0.2526,0.978,0.5126,0.2978,0.994,0.4825,0.3212,0.838,0.4689,0.3004,0.875,0.5404,0.3529,0.873,0.5218,0.2693,0.93,5,1,0.002862476664592408,0.3333333333333333
6,2,0,honest,1,3.7,0,0.0,0,0,0,0,1,0,0,2,2,1873.0,525.0,0.00546,0.224,1717.0,2264.2,0.2724,108.6,2.53,11.682,11.458,-10.773,-1.243,3.375,-15.589,-16.052,-12.148,-24.174,13.074,-1.913,-12.044,16.647,2.804,-0.064,-0.906,-0.673,-0.013,-1.208,-2.094,-1.867,-2.234,-0.47,-0.473,-0.261,2.493,3,0,0.6329,0.4757,0.6956,0.4757,0.2649,-0.0409,0.3058,-0.0511,29.84,-4.23,17.4,263.8,335.2,1,0.5011,1.1371,0,129.5,155.4,0.037,0.405,0.416,0.3,0.404,0.087,0.046,0.089,0.0,0.172,0.059,0.328,0.147,0.101,0.251,0.024,0.166,0.274,0.0,0.218,0.035,0.15,0,0.847,1,0,0.7473,0,151.5,4.41,24.17,0,1.561,0.535,0.4766,0.776,0.5339,0.4389,1.022,0.5538,0.4361,0.913,0.5783,0.4455,0.862,0.5016,0.4833,0.983,0.4543,0.4777,0.949,0.4951,0.4697,0.944,0.5415,0.5114,0.734,0.4865,0.4207,0.914,0.5257,0.4209,0.75,0.5154,0.4119,0.839,3,0,0.00197544046983449,0.0
7,14,0,honest,0,0.0,0,0.0,0,0,0,0,0,0,0,5,3,1562.0,551.0,0.00663,0.182,1833.0,3157.3,0.3727,122.8,3.0,-16.035,5.114,5.306,-32.231,15.562,-23.814,2.966,15.942,-25.165,-15.569,16.756,0.244,19.32,-0.509,0.719,0.597,-0.966,1.957,-2.455,0.89,-0.359,-1.923,-0.521,2.325,-0.267,3.756,3,0,0.4759,0.631,0.5341,0.6389,-0.0426,0.2633,-0.0675,0.2706,-4.49,27.36,16.3,390.8,255.1,0,0.9777,0.4305,1,96.6,129.1,0.026,0.39,0.318,0.244,0.306,0.781,0.471,0.043,0.007,0.472,0.176,0.025,0.37,0.183,0.11,0.316,0.074,0.291,0.406,0.646,0.18,0.113,2,0.94,2,0,0.8656,0,159.4,-1.33,-5.05,0,2.459,0.5466,0.3488,1.009,0.5734,0.3511,0.816,0.4882,0.2987,0.796,0.5717,0.3779,0.928,0.4865,0.2437,0.902,0.4177,0.4073,0.963,0.5234,0.4368,0.91,0.5701,0.2945,0.833,0.4661,0.3361,0.939,0.5047,0.3541,1.051,0.4832,0.3792,0.856,6,1,0.0,0.0
8,25,1,minor_infractions,2,8.0,3,33.4,1,1,2,1,1,1,0,5,0,1817.0,509.0,0.01068,0.1578,3294.9,4618.1,0.2647,96.7,0.83,-25.343,18.762,-17.566,-16.61,16.514,-25.84,-30.49,20.846,-0.648,25.564,25.835,-7.834,20.554,-2.036,1.666,-2.057,-0.547,3.209,-2.277,-4.613,1.93,-1.545,1.211,1.814,-1.104,2.15,2,1,0.5563,0.3798,0.6168,0.3738,0.15,-0.1807,0.141,-0.218,12.8,-19.8,12.9,395.9,304.6,0,0.9421,0.4006,1,108.4,131.3,0.007,0.398,0.396,0.441,0.589,0.344,0.152,0.124,0.077,0.629,0.157,0.046,0.302,0.11,0.0,0.122,0.064,0.063,0.39,0.205,0.384,0.256,1,0.784,2,2,0.8251,0,150.4,-1.09,11.82,0,0.854,0.4251,0.3883,0.834,0.3931,0.371,0.887,0.4142,0.4062,0.804,0.4091,0.3801,0.805,0.3895,0.3971,0.815,0.4039,0.4326,0.837,0.3751,0.4379,0.891,0.3417,0.4062,0.912,0.3727,0.3791,0.919,0.3848,0.3423,0.916,0.3952,0.3804,0.948,1,0,0.004402861860209136,1.0
9,3,0,honest,2,9.6,2,41.5,0,0,0,0,1,0,0,2,5,1517.0,483.0,0.0024,0.0521,773.5,585.4,0.0937,130.5,3.23,5.121,-25.382,30.306,19.636,-11.593,10.507,-1.673,-12.672,-29.217,5.713,8.204,4.462,24.641,2.3,-2.04,3.264,2.027,-1.455,0.685,-0.026,0.727,-3.149,0.5,1.853,1.663,2.372,0,0,0.5736,0.5813,0.6338,0.5718,0.2124,0.2759,0.1545,0.2722,16.84,27.07,15.9,421.4,261.6,0,0.46,0.673,0,123.2,153.0,0.327,0.303,0.374,0.617,0.365,0.0,0.793,0.583,0.125,0.248,0.151,0.032,0.0,0.379,0.215,0.105,0.081,0.054,0.236,0.8,0.633,0.331,4,0.981,3,2,0.8897666666666666,0,173.2,-3.5,13.65,0,1.272,0.5601,0.3736,0.974,0.6802,0.3382,0.959,0.6015,0.3924,0.839,0.5905,0.3566,1.009,0.6452,0.3034,0.99,0.6385,0.3866,0.811,0.5887,0.3267,0.823,0.6205,0.42,0.882,0.6991,0.3845,0.858,0.5999,0.348,0.74,0.6311,0.4038,1.014,2,0,0.0063282794990112065,0.6666666666666666
